User,Month,Accumulated Amount
@AlvaroBtc,2024-01-01,2
@AlvaroBtc,2024-02-01,2
@AlvaroBtc,2024-03-01,2
@AlvaroBtc,2024-04-01,4
@AlvaroBtc,2024-05-01,5
@AlvaroBtc,2024-06-01,5
@AlvaroBtc,2024-07-01,6
@AlvaroBtc,2024-08-01,6
@AlvaroBtc,2024-09-01,6
@AlvaroBtc,2024-10-01,6
@AlvaroBtc,2024-11-01,6
@AlvaroBtc,2024-12-01,6
@MarioNetaNeta,2024-01-01,2
@MarioNetaNeta,2024-02-01,3
@MarioNetaNeta,2024-03-01,4
@MarioNetaNeta,2024-04-01,5
@MarioNetaNeta,2024-05-01,5
@MarioNetaNeta,2024-06-01,7
@MarioNetaNeta,2024-07-01,7
@MarioNetaNeta,2024-08-01,7
@MarioNetaNeta,2024-09-01,8
@MarioNetaNeta,2024-10-01,8
@MarioNetaNeta,2024-11-01,8
@MarioNetaNeta,2024-12-01,8
@Outwit4071,2024-01-01,1
@Outwit4071,2024-02-01,1
@Outwit4071,2024-03-01,2
@Outwit4071,2024-04-01,2
@Outwit4071,2024-05-01,2
@Outwit4071,2024-06-01,2
@Outwit4071,2024-07-01,2
@Outwit4071,2024-08-01,2
@Outwit4071,2024-09-01,2
@Outwit4071,2024-10-01,2
@Outwit4071,2024-11-01,2
@Outwit4071,2024-12-01,2
Juan Carlos Sanchez,2024-01-01,1
Juan Carlos Sanchez,2024-02-01,1
Juan Carlos Sanchez,2024-03-01,1
Juan Carlos Sanchez,2024-04-01,1
Juan Carlos Sanchez,2024-05-01,1
Juan Carlos Sanchez,2024-06-01,1
Juan Carlos Sanchez,2024-07-01,1
Juan Carlos Sanchez,2024-08-01,1
Juan Carlos Sanchez,2024-09-01,1
Juan Carlos Sanchez,2024-10-01,1
Juan Carlos Sanchez,2024-11-01,1
Juan Carlos Sanchez,2024-12-01,1
Payaso Pagliacci,2024-01-01,1
Payaso Pagliacci,2024-02-01,1
Payaso Pagliacci,2024-03-01,1
Payaso Pagliacci,2024-04-01,1
Payaso Pagliacci,2024-05-01,1
Payaso Pagliacci,2024-06-01,1
Payaso Pagliacci,2024-07-01,1
Payaso Pagliacci,2024-08-01,1
Payaso Pagliacci,2024-09-01,1
Payaso Pagliacci,2024-10-01,1
Payaso Pagliacci,2024-11-01,1
Payaso Pagliacci,2024-12-01,1
