User,Month,Accumulated Amount
@AlvaroBtc,2024-01-01,0
@AlvaroBtc,2024-02-01,0
@AlvaroBtc,2024-03-01,3
@AlvaroBtc,2024-04-01,8
@AlvaroBtc,2024-05-01,9
@AlvaroBtc,2024-06-01,10
@AlvaroBtc,2024-07-01,13
@AlvaroBtc,2024-08-01,13
@AlvaroBtc,2024-09-01,14
@AlvaroBtc,2024-10-01,18
@AlvaroBtc,2024-11-01,24
@AlvaroBtc,2024-12-01,24
@Cinnam89,2024-01-01,2
@Cinnam89,2024-02-01,7
@Cinnam89,2024-03-01,13
@Cinnam89,2024-04-01,20
@Cinnam89,2024-05-01,25
@Cinnam89,2024-06-01,30
@Cinnam89,2024-07-01,34
@Cinnam89,2024-08-01,38
@Cinnam89,2024-09-01,46
@Cinnam89,2024-10-01,55
@Cinnam89,2024-11-01,65
@Cinnam89,2024-12-01,65
@MarioNetaNeta,2024-01-01,5
@MarioNetaNeta,2024-02-01,8
@MarioNetaNeta,2024-03-01,13
@MarioNetaNeta,2024-04-01,16
@MarioNetaNeta,2024-05-01,19
@MarioNetaNeta,2024-06-01,20
@MarioNetaNeta,2024-07-01,27
@MarioNetaNeta,2024-08-01,34
@MarioNetaNeta,2024-09-01,42
@MarioNetaNeta,2024-10-01,44
@MarioNetaNeta,2024-11-01,47
@MarioNetaNeta,2024-12-01,47
@Outwit4071,2024-01-01,1
@Outwit4071,2024-02-01,1
@Outwit4071,2024-03-01,4
@Outwit4071,2024-04-01,5
@Outwit4071,2024-05-01,7
@Outwit4071,2024-06-01,11
@Outwit4071,2024-07-01,11
@Outwit4071,2024-08-01,11
@Outwit4071,2024-09-01,11
@Outwit4071,2024-10-01,12
@Outwit4071,2024-11-01,14
@Outwit4071,2024-12-01,15
@donlorenz,2024-01-01,2
@donlorenz,2024-02-01,2
@donlorenz,2024-03-01,3
@donlorenz,2024-04-01,5
@donlorenz,2024-05-01,6
@donlorenz,2024-06-01,7
@donlorenz,2024-07-01,7
@donlorenz,2024-08-01,8
@donlorenz,2024-09-01,9
@donlorenz,2024-10-01,10
@donlorenz,2024-11-01,16
@donlorenz,2024-12-01,18
Dani,2024-01-01,0
Dani,2024-02-01,0
Dani,2024-03-01,0
Dani,2024-04-01,0
Dani,2024-05-01,0
Dani,2024-06-01,0
Dani,2024-07-01,0
Dani,2024-08-01,0
Dani,2024-09-01,1
Dani,2024-10-01,1
Dani,2024-11-01,1
Dani,2024-12-01,1
Ignacio,2024-01-01,4
Ignacio,2024-02-01,8
Ignacio,2024-03-01,13
Ignacio,2024-04-01,20
Ignacio,2024-05-01,37
Ignacio,2024-06-01,39
Ignacio,2024-07-01,51
Ignacio,2024-08-01,59
Ignacio,2024-09-01,73
Ignacio,2024-10-01,80
Ignacio,2024-11-01,91
Ignacio,2024-12-01,91
Jose,2024-01-01,0
Jose,2024-02-01,0
Jose,2024-03-01,0
Jose,2024-04-01,0
Jose,2024-05-01,0
Jose,2024-06-01,0
Jose,2024-07-01,0
Jose,2024-08-01,1
Jose,2024-09-01,2
Jose,2024-10-01,6
Jose,2024-11-01,6
Jose,2024-12-01,6
Jose M,2024-01-01,0
Jose M,2024-02-01,0
Jose M,2024-03-01,0
Jose M,2024-04-01,1
Jose M,2024-05-01,5
Jose M,2024-06-01,6
Jose M,2024-07-01,11
Jose M,2024-08-01,14
Jose M,2024-09-01,15
Jose M,2024-10-01,17
Jose M,2024-11-01,19
Jose M,2024-12-01,19
Juan Carlos Sanchez,2024-01-01,0
Juan Carlos Sanchez,2024-02-01,2
Juan Carlos Sanchez,2024-03-01,7
Juan Carlos Sanchez,2024-04-01,8
Juan Carlos Sanchez,2024-05-01,12
Juan Carlos Sanchez,2024-06-01,15
Juan Carlos Sanchez,2024-07-01,18
Juan Carlos Sanchez,2024-08-01,19
Juan Carlos Sanchez,2024-09-01,22
Juan Carlos Sanchez,2024-10-01,32
Juan Carlos Sanchez,2024-11-01,45
Juan Carlos Sanchez,2024-12-01,46
Luis,2024-01-01,0
Luis,2024-02-01,1
Luis,2024-03-01,3
Luis,2024-04-01,5
Luis,2024-05-01,5
Luis,2024-06-01,5
Luis,2024-07-01,8
Luis,2024-08-01,9
Luis,2024-09-01,10
Luis,2024-10-01,10
Luis,2024-11-01,13
Luis,2024-12-01,13
Payaso Pagliacci,2024-01-01,4
Payaso Pagliacci,2024-02-01,4
Payaso Pagliacci,2024-03-01,9
Payaso Pagliacci,2024-04-01,13
Payaso Pagliacci,2024-05-01,16
Payaso Pagliacci,2024-06-01,22
Payaso Pagliacci,2024-07-01,27
Payaso Pagliacci,2024-08-01,28
Payaso Pagliacci,2024-09-01,31
Payaso Pagliacci,2024-10-01,32
Payaso Pagliacci,2024-11-01,39
Payaso Pagliacci,2024-12-01,39
