User,Premio,Amount
@AlvaroBtc,ano,5
@AlvaroBtc,ino,6
@AlvaroBtc,one,9
@AlvaroBtc,ote,1
@AlvaroBtc,soft,3
@Cinnam89,ano,6
@Cinnam89,ao,3
@Cinnam89,cinco,2
@Cinnam89,ino,16
@Cinnam89,one,28
@Cinnam89,ote,2
@Cinnam89,soft,8
@MarioNetaNeta,ano,8
@MarioNetaNeta,ao,5
@MarioNetaNeta,ino,6
@MarioNetaNeta,one,18
@MarioNetaNeta,ote,3
@MarioNetaNeta,soft,7
@Outwit4071,ano,1
@Outwit4071,ao,1
@Outwit4071,cinco,3
@Outwit4071,ino,3
@Outwit4071,one,4
@Outwit4071,soft,3
@donlorenz,5,1
@donlorenz,ano,4
@donlorenz,ao,1
@donlorenz,ino,5
@donlorenz,one,4
@donlorenz,ote,1
@donlorenz,soft,2
Dani,ano,1
Ignacio,ano,22
Ignacio,ao,5
Ignacio,cinco,3
Ignacio,ino,10
Ignacio,one,38
Ignacio,ote,5
Ignacio,soft,8
Jose,ano,3
Jose,ino,2
Jose,one,1
Jose M,ano,3
Jose M,ino,1
Jose M,one,13
Jose M,ote,2
Juan Carlos Sanchez,ano,14
Juan Carlos Sanchez,ao,2
Juan Carlos Sanchez,cinco,1
Juan Carlos Sanchez,ino,5
Juan Carlos Sanchez,one,16
Juan Carlos Sanchez,ote,3
Juan Carlos Sanchez,soft,5
Luis,ano,3
Luis,ao,1
Luis,ino,5
Luis,one,1
Luis,ote,2
Luis,soft,1
Payaso Pagliacci,ano,9
Payaso Pagliacci,ao,4
Payaso Pagliacci,ino,6
Payaso Pagliacci,olla,1
Payaso Pagliacci,one,14
Payaso Pagliacci,ote,1
Payaso Pagliacci,soft,4
