User,Month,Month Goals
Payaso Pagliacci,2024-01-01,0
Ignacio,2024-01-01,0
@MarioNetaNeta,2024-01-01,0
Juan Carlos Sanchez,2024-01-01,0
@AlvaroBtc,2024-01-01,0
@Cinnam89,2024-01-01,0
Luis,2024-01-01,0
@donlorenz,2024-01-01,0
Dani,2024-01-01,0
@donlorenz,2024-02-01,0
Dani,2024-02-01,0
@AlvaroBtc,2024-02-01,1
Luis,2024-02-01,1
Juan Carlos Sanchez,2024-02-01,2
@Cinnam89,2024-02-01,2
Payaso Pagliacci,2024-02-01,3
Ignacio,2024-02-01,3
@MarioNetaNeta,2024-02-01,3
Payaso Pagliacci,2024-03-01,0
@AlvaroBtc,2024-03-01,0
@Cinnam89,2024-03-01,0
Luis,2024-03-01,0
@donlorenz,2024-03-01,0
Dani,2024-03-01,0
Ignacio,2024-03-01,1
@MarioNetaNeta,2024-03-01,1
Juan Carlos Sanchez,2024-03-01,4
@MarioNetaNeta,2024-04-01,0
@AlvaroBtc,2024-04-01,0
@Cinnam89,2024-04-01,0
@donlorenz,2024-04-01,0
Dani,2024-04-01,0
Payaso Pagliacci,2024-04-01,1
Ignacio,2024-04-01,1
Juan Carlos Sanchez,2024-04-01,1
Luis,2024-04-01,1
Payaso Pagliacci,2024-05-01,0
Juan Carlos Sanchez,2024-05-01,0
@AlvaroBtc,2024-05-01,0
@Cinnam89,2024-05-01,0
Luis,2024-05-01,0
Dani,2024-05-01,0
Ignacio,2024-05-01,1
@MarioNetaNeta,2024-05-01,1
@donlorenz,2024-05-01,1
Payaso Pagliacci,2024-06-01,0
Ignacio,2024-06-01,0
@MarioNetaNeta,2024-06-01,0
@AlvaroBtc,2024-06-01,0
@Cinnam89,2024-06-01,0
Luis,2024-06-01,0
@donlorenz,2024-06-01,0
Dani,2024-06-01,0
Juan Carlos Sanchez,2024-06-01,2
Payaso Pagliacci,2024-07-01,0
Ignacio,2024-07-01,0
Luis,2024-07-01,0
@donlorenz,2024-07-01,0
Dani,2024-07-01,0
@MarioNetaNeta,2024-07-01,1
Juan Carlos Sanchez,2024-07-01,1
@AlvaroBtc,2024-07-01,1
@Cinnam89,2024-07-01,1
Payaso Pagliacci,2024-08-01,0
Ignacio,2024-08-01,0
@AlvaroBtc,2024-08-01,0
@Cinnam89,2024-08-01,0
Luis,2024-08-01,0
@donlorenz,2024-08-01,0
Dani,2024-08-01,0
@MarioNetaNeta,2024-08-01,2
Juan Carlos Sanchez,2024-08-01,2
Payaso Pagliacci,2024-09-01,0
@MarioNetaNeta,2024-09-01,0
Juan Carlos Sanchez,2024-09-01,0
@Cinnam89,2024-09-01,0
Luis,2024-09-01,0
@donlorenz,2024-09-01,0
Dani,2024-09-01,0
Ignacio,2024-09-01,1
@AlvaroBtc,2024-09-01,1
Payaso Pagliacci,2024-10-01,0
@MarioNetaNeta,2024-10-01,0
@AlvaroBtc,2024-10-01,0
@Cinnam89,2024-10-01,0
Luis,2024-10-01,0
@donlorenz,2024-10-01,0
Dani,2024-10-01,0
Ignacio,2024-10-01,1
Juan Carlos Sanchez,2024-10-01,3
Ignacio,2024-11-01,0
@MarioNetaNeta,2024-11-01,0
@AlvaroBtc,2024-11-01,0
Luis,2024-11-01,0
@donlorenz,2024-11-01,0
Dani,2024-11-01,1
Payaso Pagliacci,2024-11-01,2
@Cinnam89,2024-11-01,3
Juan Carlos Sanchez,2024-11-01,4
Payaso Pagliacci,2024-12-01,0
@AlvaroBtc,2024-12-01,0
Luis,2024-12-01,0
@donlorenz,2024-12-01,0
Dani,2024-12-01,0
Ignacio,2024-12-01,1
@MarioNetaNeta,2024-12-01,1
Juan Carlos Sanchez,2024-12-01,1
@Cinnam89,2024-12-01,1
